key,key:project,key:user-story
user-story-project-01,project-01,user-story-01
user-story-project-02,project-01,user-story-02
user-story-project-03,project-01,user-story-03
user-story-project-04,project-02,user-story-04
user-story-project-05,project-02,user-story-05
user-story-project-06,project-03,user-story-06
user-story-project-07,project-03,user-story-07
user-story-project-08,project-04,user-story-08
user-story-project-09,project-04,user-story-09
user-story-project-10,project-05,user-story-10
user-story-project-11,project-05,user-story-11
user-story-project-12,project-06,user-story-12
user-story-project-13,project-06,user-story-13
user-story-project-14,project-07,user-story-14
user-story-project-15,project-07,user-story-15
user-story-project-16,project-08,user-story-16
user-story-project-17,project-08,user-story-17
user-story-project-18,project-09,user-story-18
user-story-project-19,project-09,user-story-19
user-story-project-20,project-19,user-story-24
